id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
36	$50.00 Nintendo eShop	$50.00 Nintendo eShop 	https://www.gamestoreml.store/es/item/-50-00-nintendo-eshop/2154c2d7-50e5-4cee-b98e-b87f7f0e5cd7.html	42.00 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:a5cee467-c1ed-45bd-9f73-17d8cf5239da/2154c2d7-50e5-4cee-b98e-b87f7f0e5cd7/ac17b0d9-25bc-4b1c-baf4-a9f7c2ed6911/640x640.webp	00679628201917		$50.00 Nintendo eShop	merge
37	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US 	https://www.gamestoreml.store/es/item/-10-00-nintendo-eshop-us/d7f9e6af-d268-47aa-a8e3-6e6d48778d15.html	9.50 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:112883ab-5811-4267-9094-fd4c90dadd78/d7f9e6af-d268-47aa-a8e3-6e6d48778d15/fc7d7e2d-35b0-4a47-b22e-b2c304fa3c0b/640x640.webp	00679628201924		$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	merge
38	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US 	https://www.gamestoreml.store/es/item/-10-00-nintendo-eshop-us/392c0091-8904-48d0-82fe-388946f384c8.html	9.50 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:112883ab-5811-4267-9094-fd4c90dadd78/392c0091-8904-48d0-82fe-388946f384c8/ae5ea1e1-75c0-4a23-8d2f-ebf0b4d43fa1/640x640.webp	00679628201931		$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	merge
39	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US 	https://www.gamestoreml.store/es/item/-10-00-nintendo-eshop-us/6cfecbb7-ce21-4199-b165-67fe5ee2240a.html	9.50 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:112883ab-5811-4267-9094-fd4c90dadd78/6cfecbb7-ce21-4199-b165-67fe5ee2240a/728dc204-17f5-4f3f-af62-e9f4b48c5b9d/640x640.webp	00679628201948		$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	merge
40	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US 	https://www.gamestoreml.store/es/item/-10-00-nintendo-eshop-us/52ed0f13-bb02-4548-8ce7-d219777e6731.html	9.50 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:112883ab-5811-4267-9094-fd4c90dadd78/52ed0f13-bb02-4548-8ce7-d219777e6731/81c1e108-c9a7-4492-bc96-d52b7778435d/640x640.webp	00679628201955		$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	merge
41	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US 	https://www.gamestoreml.store/es/item/-10-00-nintendo-eshop-us/3cf1b956-492f-420b-8f1a-d5d0b96dff51.html	9.50 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:112883ab-5811-4267-9094-fd4c90dadd78/3cf1b956-492f-420b-8f1a-d5d0b96dff51/cdc9b64d-e1a3-4dd1-8fae-4ccff417f116/640x640.webp	00679628201962		$10.00 Nintendo eShop 𝐀𝐔𝐓𝐎𝐃𝐄𝐋𝐈𝐕𝐄𝐑𝐘 US	merge
42	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/c3eee80b-1ade-4810-bdfb-c01127451e02.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/c3eee80b-1ade-4810-bdfb-c01127451e02/c3d125e6-8267-42d0-9bd0-7677b028dd67/640x640.webp	00679628201979		$50 Nintendo eShop US SPECIAL OFFER 	merge
43	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/b4dadda2-2bf7-433f-8f36-8fab9c8a8479.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/b4dadda2-2bf7-433f-8f36-8fab9c8a8479/c4492a57-e886-4b75-b4e0-1fd9428d6bd3/640x640.webp	00679628201993		$50 Nintendo eShop US SPECIAL OFFER 	merge
44	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/03716865-ce45-458a-b27e-6ddc29cc312b.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/03716865-ce45-458a-b27e-6ddc29cc312b/8b82d37d-7370-466a-979a-0642742f011f/640x640.webp	00679628202006		$50 Nintendo eShop US SPECIAL OFFER 	merge
45	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/14c41a1b-4fd4-445e-9d6c-8f7165ca2a2e.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/14c41a1b-4fd4-445e-9d6c-8f7165ca2a2e/16d52903-d3d2-4007-ba4c-8719230c024b/640x640.webp	00679628202013		$50 Nintendo eShop US SPECIAL OFFER 	merge
